"run","id","auc","pauc","k_pca"
63,"02",0.782113821138211,0.0197229750075279,498
63,"04",0.549154493381204,0.00759722640940609,488
63,"06",0.832568368712947,0.0411040989354242,476
64,"00",0.505164889797271,0.00264044633486162,472
64,"02",0.729433221099888,0.0150252525252525,506
64,"04",0.536730581338544,0.0101551050317538,486
64,"06",0.886921817437577,0.0519750306999591,481
65,"00",0.49762769305253,0.00483660130718954,479
65,"02",0.735028248587571,0.0235404896421845,502
65,"04",0.55065944745245,0.013022351797862,493
65,"06",0.83153942428035,0.0309292866082603,483
66,"00",0.530240585235176,0.0150275616918242,480
66,"02",0.718832453825857,0.0205804749340369,513
66,"04",0.597698016053309,0.0110858700590641,489
66,"06",0.846628121162505,0.0375255832992223,487
67,"00",0.528341121495327,0.000768691588785045,477
67,"02",0.66219119226638,0.0183108146305614,507
67,"04",0.572768398984884,0.017383868476222,491
67,"06",0.759926811950407,0.0225572122999618,479
68,"00",0.487506547930854,0.00685175484546883,475
68,"02",0.751414291206679,0.0210358653265228,508
68,"04",0.489280584932759,0.00386473429951691,484
68,"06",0.839304648696914,0.0340030135610246,484
69,"00",0.551797297956397,0.00817441350046334,481
69,"02",0.691501433349259,0.00546763019589106,501
69,"04",0.608360502438901,0.0208254353375287,490
69,"06",0.831678082191781,0.026689497716895,483
70,"00",0.569574346249284,0.0036505058217217,469
70,"02",0.723155929038282,0.0219915417147251,510
70,"04",0.550603448275862,0.010948275862069,487
70,"06",0.852796008027336,0.0306801540380756,487
71,"00",0.510787025396027,0.0141991450842343,477
71,"02",0.685598885793872,0.00963788300835655,511
71,"04",0.592336526447314,0.0104956268221574,484
71,"06",0.841045112298089,0.0481240749082952,479
72,"00",0.520848237097598,0.00222278998467041,472
72,"02",0.78230836490819,0.0307373943456718,510
72,"04",0.473908045977011,0.00272988505747126,492
72,"06",0.838996138996139,0.0449242649242649,483
73,"00",0.503748918581179,0.0074930308564837,479
73,"02",0.658962623951182,0.0149402491736588,503
73,"04",0.527402935606061,0.00246212121212121,495
73,"06",0.888236191638694,0.0583562201200285,491
74,"00",0.495428808893045,0.00803075164926497,476
74,"02",0.721774671247483,0.0113908304703234,501
74,"04",0.535180204410974,0.00632060247444863,477
74,"06",0.89363206097486,0.0541244083840433,480
75,"00",0.50420373182903,0.00162182686049034,468
75,"02",0.736761047269281,0.0224795640326975,506
75,"04",0.524226453587215,0.00817749064943896,482
75,"06",0.897670405522002,0.048173712970952,479
76,"00",0.539309610705596,0.00708130575831305,476
76,"02",0.718421052631579,0.012781954887218,506
76,"04",0.512849883983905,0.00238493846741269,482
76,"06",0.91061438307395,0.0593734106398128,482
77,"00",0.551740664894776,0.00686244608078079,473
77,"02",0.668489804587935,0.0170135938827528,499
77,"04",0.491823680935429,0.00338050997076785,491
77,"06",0.787567567567568,0.0403963963963964,488
78,"00",0.510283451040275,0.0032258064516129,474
78,"02",0.651942186088527,0.00906353507979524,499
78,"04",0.551143419657731,0.0133030440708769,498
78,"06",0.866307619198479,0.0448307724800676,485
79,"00",0.508023216114715,0.00208993805784519,476
79,"02",0.727009926911749,0.0182175193629323,502
79,"04",0.54514367816092,0.0122988505747126,487
79,"06",0.825789192081327,0.0254681647940075,484
80,"00",0.532630223806694,0.00124034462269756,470
80,"02",0.77058495821727,0.0247075208913649,505
80,"04",0.559688683712121,0.00991950757575757,494
80,"06",0.807261366084896,0.0259534583063995,484
81,"00",0.531622965641953,0.00198915009041591,472
81,"02",0.713253139179065,0.0135696950511765,510
81,"04",0.586043792517007,0.0110597363945578,494
81,"06",0.838448753462604,0.0377839335180055,480
82,"00",0.521043771043771,0.00363545363545363,466
82,"02",0.779641827912721,0.0205177027583368,501
82,"04",0.574927113702624,0.0120991253644315,485
